Month;فنادق 5 نجوم - Five Star Hotel;فنادق 4 نجوم - Four Star Hotel;فنادق 3 نجوم - Three Star Hotel;فنادق نجمة ونجمتين - One and Two Star Hotel
2023-10;367.0;140.0;149.0;143.0
2023-07;268.0;111.0;119.0;129.0
2023-06;293.0;122.0;130.0;136.0
2023-05;299.0;121.0;130.0;138.0
2023-04;279.0;105.0;118.0;131.0
2023-03;357.0;143.0;142.0;143.0
2023-02;337.0;137.0;139.0;143.0
2023-01;269.0;108.0;120.0;136.0
2022-12;1806.0;706.0;620.0;393.0
2022-11;1374.0;613.0;483.0;335.0
2022-10;330.0;159.0;140.0;152.0
2022-09;305.0;133.0;141.0;157.0
2022-08;271.0;139.0;152.0;157.0
2022-07;332.0;155.0;173.0;156.0
2022-06;387.0;152.0;164.0;165.0
2022-05;402.93;169.12;177.01;151.87
2022-04;220.0;119.0;129.0;120.0
2022-03;430.0;224.0;198.0;124.0
2022-02;280.0;167.0;197.0;187.0
2022-01;252.0;174.0;203.0;190.0
2021-12;429.0;205.0;225.0;132.0
2021-11;425.0;203.0;201.0;150.0
2021-10;400.73;192.81;189.97;170.31
2021-09;393.0;186.0;181.0;151.0
2021-08;425.0;170.0;158.0;138.0
2021-07;417.06;143.5;164.18;118.77
2021-06;436.0;136.0;138.0;95.0
2021-05;300.0;115.0;127.0;78.0
2021-04;278.0;102.0;128.0;93.0
2021-03;402.0;125.0;146.0;93.0
2021-02;321.0;152.0;150.0;123.0
2021-01;264.0;128.0;115.0;51.0
2020-12;266.0;127.0;104.0;82.0
2020-11;262.0;125.0;103.0;80.0
2020-10;261.0;124.0;103.0;79.0
2020-09;260.0;124.0;102.0;63.0
2020-08;257.0;122.0;103.0;63.0
2020-07;248.0;123.0;105.0;58.0
2020-06;244.0;124.0;109.0;63.0
2020-05;229.0;125.0;111.0;73.0
2020-04;254.0;130.0;118.0;92.0
2020-03;298.0;140.0;131.0;106.0
2020-02;329.0;153.0;151.0;124.0
2020-01;321.0;152.0;150.0;123.0
2019-12;339.0;154.0;136.0;115.0
2019-11;332.0;152.0;133.0;112.0
2019-10;328.0;151.0;132.0;112.0
2019-09;320.0;149.0;132.0;110.0
2019-08;320.0;148.0;132.0;109.0
2019-07;324.0;150.0;133.0;110.0
2019-06;328.0;152.0;134.0;110.0
2019-05;331.0;155.0;136.0;111.0
2019-04;363.0;160.0;142.0;117.0
2019-03;342.0;163.0;144.0;106.0
2019-02;332.0;160.0;141.0;105.0
2019-01;312.0;155.0;135.0;102.0
2018-12;319.0;150.0;126.0;82.0
2018-11;317.0;149.0;128.0;80.0
2018-10;317.0;148.0;127.0;79.0
2018-09;314.0;147.0;126.0;79.0
2018-08;320.0;147.0;125.0;78.0
2018-07;321.0;149.0;127.0;79.0
2018-06;323.0;150.0;127.0;80.0
2018-05;330.0;154.0;130.0;80.0
2018-04;349.0;156.0;132.0;81.0
2018-03;344.0;157.0;131.0;84.0
2018-02;327.0;154.0;127.0;84.0
2018-01;314.0;152.0;125.0;82.0
